"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1200245327439118336","https://twitter.com/ogato_desuyo/status/1200245327439118336","@makomimame つい去年まで青森(八甲田付近)にいたのでもうこりごりです✋","2019-11-29 02:49 +0000","141.0","6.0","0.0425531914893617","0.0","1.0","4.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200245095846432768","https://twitter.com/ogato_desuyo/status/1200245095846432768","開始1か月でトップ取ってる！！！
課題も毎回余裕で終わらせてくるし強すぎるww
SUNABACOの面接のとき人差し指でゆっくりタイピングしてたなんて誰も信じないだろうな...
#たかまつ1st https://t.co/TaB77l94SG","2019-11-29 02:48 +0000","1726.0","167.0","0.09675550405561993","6.0","0.0","21.0","9.0","3.0","1.0","2.0","0.0","0","0","0","0","0","125","125","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200243267905806337","https://twitter.com/ogato_desuyo/status/1200243267905806337","@makomimame 欲を言うなら江別は冬以外がいいですね...","2019-11-29 02:41 +0000","124.0","17.0","0.13709677419354838","0.0","1.0","6.0","2.0","0.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200068843743281152","https://twitter.com/ogato_desuyo/status/1200068843743281152","@TOMOYA_MANJO10 はい！こちらこそ！一緒に盛り上げて行きましょ☺️","2019-11-28 15:08 +0000","86.0","1.0","0.011627906976744186","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200058822229815296","https://twitter.com/ogato_desuyo/status/1200058822229815296","SUNABACO更にハイスピードで増えそうなので先出しジャンケンしておきました","2019-11-28 14:28 +0000","677.0","14.0","0.0206794682422452","0.0","0.0","5.0","8.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200058157042520069","https://twitter.com/ogato_desuyo/status/1200058157042520069","自分はいつでもどこでも行けますし、1日に何回でも授業できます
そこにSUNABACOがある限りどこまでも働かせていただきます","2019-11-28 14:25 +0000","2024.0","68.0","0.03359683794466403","2.0","2.0","24.0","19.0","0.0","0.0","21.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200055003416649728","https://twitter.com/ogato_desuyo/status/1200055003416649728","@ieU0CzRhYHbK6yv そんなにフラグ立てて大丈夫ですか？笑","2019-11-28 14:13 +0000","58.0","1.0","0.017241379310344827","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200050127152377857","https://twitter.com/ogato_desuyo/status/1200050127152377857","口内炎が出来てしまった
ベストコンディションじゃない状態でラーメンを食べるのは失礼にあたるため今日は野菜ジュース飲んで寝る","2019-11-28 13:53 +0000","738.0","13.0","0.017615176151761516","1.0","0.0","7.0","3.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200048505932283904","https://twitter.com/ogato_desuyo/status/1200048505932283904","半袖流石にさみぃ","2019-11-28 13:47 +0000","561.0","1.0","0.0017825311942959","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200047333146152960","https://twitter.com/ogato_desuyo/status/1200047333146152960","こちらこそネイティブの発音聞けて勉強になりました！ https://t.co/LocuFR5QCw","2019-11-28 13:42 +0000","1141.0","7.0","0.006134969325153374","0.0","1.0","3.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
